File generated on // Fichier créé sur ,23/09/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pollutant // Polluant, PM10 // PM10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units // Unités,µg/m3 // µg/m3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data is hour ending local standard time // Données en heure normale locale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note // Note,Zeros are valid. -999 denotes no data available. // Zéros sont valides .-999 Données non disponibles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pollutant // Polluant,NAPS ID // Identifiant SNPA,City // Ville,P/T // P/T,Latitude // Latitude,Longitude // Longitude,Date // Date,H01 // H01,H02 // H02,H03 // H03,H04 // H04,H05 // H05,H06 // H06,H07 // H07,H08 // H08,H09 // H09,H10 // H10,H11 // H11,H12 // H12,H13 // H13,H14 // H14,H15 // H15,H16 // H16,H17 // H17,H18 // H18,H19 // H19,H20 // H20,H21 // H21,H22 // H22,H23 // H23,H24 // H24
PM10,70119,Winnipeg,MB,49.89799,-97.14653,20160424,10,34,14,5,8,7,11,7,30,50,67,58,26,30,29,12,13,15,19,11,10,9,14,8
PM10,70119,Winnipeg,MB,49.89799,-97.14653,20160425,8,6,18,8,14,26,40,42,34,54,74,41,32,41,31,35,26,15,13,21,21,23,21,21
PM10,70119,Winnipeg,MB,49.89799,-97.14653,20160426,23,16,13,13,17,52,54,41,36,22,24,28,30,19,28,33,28,28,19,25,33,41,45,18
PM10,70119,Winnipeg,MB,49.89799,-97.14653,20160427,14,19,17,14,11,34,49,52,41,46,36,36,30,30,49,36,39,25,21,26,44,17,18,21
PM10,70119,Winnipeg,MB,49.89799,-97.14653,20160428,17,21,15,16,19,53,80,81,47,30,29,29,34,44,42,46,43,25,19,20,30,21,16,17
PM10,70119,Winnipeg,MB,49.89799,-97.14653,20160429,10,6,8,7,11,41,59,70,69,52,25,18,23,21,25,28,20,16,24,28,18,18,20,13
PM10,70119,Winnipeg,MB,49.89799,-97.14653,20160430,18,16,16,11,9,14,15,22,20,10,6,14,16,20,18,24,28,17,14,16,21,24,19,23
PM10,70119,Winnipeg,MB,49.89799,-97.14653,20160501,25,22,12,9,10,22,33,43,24,6,7,10,19,10,10,12,11,14,6,15,24,44,40,26
PM10,70119,Winnipeg,MB,49.89799,-97.14653,20160502,25,35,37,20,24,45,69,114,122,68,64,74,60,32,52,43,28,49,36,42,77,74,48,46
PM10,70119,Winnipeg,MB,49.89799,-97.14653,20160503,30,28,22,28,34,25,32,47,45,60,124,60,63,54,52,61,35,26,17,17,15,19,26,22
PM10,70119,Winnipeg,MB,49.89799,-97.14653,20160504,18,13,17,16,18,49,52,66,59,15,20,38,29,31,61,74,66,55,45,49,57,47,78,81
PM10,70119,Winnipeg,MB,49.89799,-97.14653,20160505,65,50,32,28,27,34,56,63,65,86,44,41,38,33,29,31,33,30,29,62,58,60,56,65
PM10,70119,Winnipeg,MB,49.89799,-97.14653,20160506,58,66,45,41,43,63,74,69,45,70,47,42,36,26,23,20,28,28,18,13,21,6,9,13
PM10,70119,Winnipeg,MB,49.89799,-97.14653,20160507,21,18,14,12,12,12,17,12,2,8,3,10,11,36,14,11,15,14,16,21,33,45,31,53
PM10,70119,Winnipeg,MB,49.89799,-97.14653,20160508,32,24,34,39,42,39,38,46,46,57,59,52,51,44,38,35,43,56,46,48,50,40,52,52
PM10,70119,Winnipeg,MB,49.89799,-97.14653,20160509,42,44,42,39,47,76,92,91,74,60,57,58,95,103,79,86,72,54,29,33,54,55,43,34
PM10,70119,Winnipeg,MB,49.89799,-97.14653,20160510,40,39,25,12,13,15,27,30,29,23,26,17,18,15,14,17,14,9,10,9,-999,15,12,10
PM10,70119,Winnipeg,MB,49.89799,-97.14653,20160511,8,9,6,7,7,8,10,11,9,21,30,44,14,17,65,62,64,44,-999,13,20,9,10,8
PM10,70119,Winnipeg,MB,49.89799,-97.14653,20160512,6,2,5,12,6,5,3,5,1,0,0,6,10,14,18,14,16,7,5,7,3,6,5,4
PM10,70119,Winnipeg,MB,49.89799,-97.14653,20160513,1,2,1,0,3,6,6,5,9,9,13,19,11,15,7,10,8,8,7,4,4,3,4,5
PM10,70119,Winnipeg,MB,49.89799,-97.14653,20160514,5,4,3,3,5,6,6,2,3,5,4,6,8,3,5,4,6,6,7,6,10,12,8,19
